Coaching,Flag,Event ID,Recorded Date,Severity,Score,Observations,Vehicle,Driver ID
Not In Queue,Not Flagged,9096-RJDM,29-Mar-17,Category 1,49,Unsafe Following (3.25 - 4 seconds),12030,401
Coached,Not Flagged,9096-RJD4,29-Mar-17,Category 3,226,Unsafe Braking,14213,1043
Not In Queue,Not Flagged,9096-RJAN,29-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),5057,1692
Not In Queue,Not Flagged,9096-RJAK,29-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),15007,166
Not In Queue,Not Flagged,9096-RJ8Y,29-Mar-17,Category 2,195,Incomplete Stop at Light,16210,568
Not In Queue,Not Flagged,9096-RJ8D,29-Mar-17,Category 2,195,Incomplete Stop at Light,4008,1214
Not In Queue,Not Flagged,9096-RJ88,29-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),7089,964
Coached,Not Flagged,9096-RJ7W,29-Mar-17,Category 3,226,Unsafe Braking,14014,202
Coached,Not Flagged,9096-RJ6D,28-Mar-17,Category 3,226,Unsafe Following (1.25 - 2 seconds),7032,1849
Not In Queue,Not Flagged,9096-RJ69,29-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,12049,87
Not In Queue,Not Flagged,9096-RJ4Y,29-Mar-17,Category 2,195,Incomplete Stop at Light,7042,1108
Not In Queue,Not Flagged,9096-RJ44,29-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,9957,189
Not In Queue,Not Flagged,9096-RJ3Y,29-Mar-17,Category 2,195,Incomplete Stop at Light,12203,747
Aged out,Not Flagged,9096-RHXF,28-Mar-17,Category 3,226,Unsafe Braking,4010,2123
Not In Queue,Not Flagged,9096-RHSH,28-Mar-17,Category 0,0,Failure to Attempt to Stop at Light,9034,627
Not In Queue,Not Flagged,9096-RHRK,28-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),11025,2010
Not In Queue,Not Flagged,9096-RHQW,28-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),10014,35
Aged out,Not Flagged,9096-RHQM,28-Mar-17,Category 4,275,Excessive Speeding (> 10 mph Over Limit),11011,2123
Coached,Flagged,9096-RHPY,28-Mar-17,Category 3,226,Unsafe Braking,7056,500
Not In Queue,Not Flagged,9096-RHPD,28-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,9952,2159
Not In Queue,Not Flagged,9096-RHN8,28-Mar-17,Category 2,195,Incomplete Stop at Light,15208,768
Not In Queue,Not Flagged,9096-RHMS,28-Mar-17,Category 2,195,Incomplete Stop at Stop Sign,12211,2060
Not In Queue,Not Flagged,9096-RHKV,28-Mar-17,Category 2,195,Incomplete Stop at Light,12024,1382
Not In Queue,Not Flagged,9096-RHK3,28-Mar-17,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),11019,2045
