Coaching,Flag,Event ID,Recorded Date,Severity,Score,Observations,Vehicle,Driver ID
Coached,Flagged,9096-ED27,08-Apr-16,Category 4,324,"Mobile Phone - Talking (Hands Free), Moderate Speeding (<= 10 mph Over Limit)",7002,2042
Not In Queue,Not Flagged,9096-ED1W,12-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,11203,1354
Coached,Not Flagged,9096-ECWE,08-Apr-16,Category 3,226,Lane Departure/Straddling Lanes,7002,2042
Coached,Not Flagged,9096-ECVB,08-Apr-16,Category 3,226,Unsafe Following (1.25 - 2 seconds),7002,2042
Coached,Not Flagged,9096-ECTZ,08-Apr-16,Category 3,226,Unsafe Following (1.25 - 2 seconds),7002,2042
Not In Queue,Not Flagged,9096-ECTP,08-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),7002,2042
Not In Queue,Not Flagged,9096-ECT6,08-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),7002,2042
Coached,Not Flagged,9096-ECP4,11-Apr-16,Category 4,275,Failure to Attempt to Stop at Light,11011,1350
Not In Queue,Not Flagged,9096-ECNF,11-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,15203,1388
Not In Queue,Not Flagged,9096-ECN6,11-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),7017,1150
Coached,Not Flagged,9096-ECM6,11-Apr-16,Category 3,226,Lane Departure/Straddling Lanes,211,336
Coached,Not Flagged,9096-ECG6,11-Apr-16,Category 4,501,"Lane Departure/Straddling Lanes, Moderate Speeding (<= 10 mph Over Limit), Paperwork",7002,663
Not In Queue,Not Flagged,9096-ECFQ,11-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),10058,1236
Coached,Not Flagged,9096-ECEB,11-Apr-16,Category 3,200,Curb Check/Jumped Curb,12203,768
Not In Queue,Not Flagged,9096-ECD1,11-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),6104,773
Not In Queue,Not Flagged,9096-ECCG,11-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,10068,671
Not In Queue,Not Flagged,9096-ECBW,11-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9103,989
Not In Queue,Not Flagged,9096-ECBS,11-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,7030,1108
Not In Queue,Not Flagged,9096-ECB2,11-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),7021,1552
Coached,Not Flagged,9096-ECAZ,11-Apr-16,Category 3,226,Lane Departure/Straddling Lanes,163,979
Not In Queue,Not Flagged,9096-EC8F,11-Apr-16,Category 2,195,Incomplete Stop at Light,14227,1029
Not In Queue,Not Flagged,9096-EC82,11-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,11219,1618
Not In Queue,Not Flagged,9096-EC7W,11-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),12211,1232
Not In Queue,Not Flagged,9096-EC7H,11-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),11224,291
Not In Queue,Not Flagged,9096-EC72,11-Apr-16,Category 2,195,Incomplete Stop at Light,12043,574
Not In Queue,Not Flagged,9096-EC65,11-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,14223,543
Not In Queue,Not Flagged,9096-EC5D,11-Apr-16,Category 2,195,Incomplete Stop at Light,9030,755
Not In Queue,Not Flagged,9096-EC4B,11-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,11203,1354
Coached,Not Flagged,9096-EC27,11-Apr-16,Category 3,226,Unsafe Braking,15208,303
Not In Queue,Not Flagged,9096-EC1W,09-Apr-16,Category 2,195,Incomplete Stop at Light,11008,1468
,Not Flagged,9096-EC1S,09-Apr-16,Category 3,226,Unsafe Following (1.25 - 2 seconds),11008,1468
Not In Queue,Not Flagged,9096-EC13,06-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,7043,1696
Coached,Not Flagged,9096-EBZT,10-Apr-16,Category 4,275,Excessive Speeding (> 10 mph Over Limit),10001,1592
Not In Queue,Not Flagged,9096-EBXV,10-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),14016,692
Coached,Not Flagged,9096-EBXM,10-Apr-16,Category 4,275,Excessive Speeding (> 10 mph Over Limit),9026,59
Not In Queue,Not Flagged,9096-EBV5,09-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,9034,564
Coached,Not Flagged,9096-EBS5,09-Apr-16,Category 3,226,Lane Departure/Straddling Lanes,11229,207
Not In Queue,Not Flagged,9096-EBRV,09-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),10002,1077
Not In Queue,Not Flagged,9096-EBR0,09-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),6026,450
Coached,Not Flagged,9096-EBQ3,09-Apr-16,Category 4,275,Attained Extreme Speed,9020,1048
Not In Queue,Not Flagged,9096-EBQ0,09-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),11023,979
Coached,Not Flagged,9096-EBP5,09-Apr-16,Category 4,275,Failure to Attempt to Stop at Light,9038,914
Coached,Not Flagged,9096-EBM2,09-Apr-16,Category 3,226,False Start,8106,1838
Not In Queue,Not Flagged,9096-EBKS,09-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9024,1352
Not In Queue,Not Flagged,9096-EBJH,09-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),8109,1080
Not In Queue,Not Flagged,9096-EBEN,08-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,7043,2046
Not In Queue,Not Flagged,9096-EBCX,08-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),13042,939
Coached,Not Flagged,9096-EBC8,08-Apr-16,Category 3,226,Lane Departure/Straddling Lanes,6027,454
Not In Queue,Not Flagged,9096-EBAH,08-Apr-16,Category 2,195,Incomplete Stop at Light,10054,433
Not In Queue,Not Flagged,9096-EBAD,08-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),11008,2123
Not In Queue,Not Flagged,9096-EB6Z,08-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,167,6
Coached,Not Flagged,9096-EB32,08-Apr-16,Category 4,275,Attained Extreme Speed,9020,613
Coached,Not Flagged,9096-EB2S,08-Apr-16,Category 3,226,Lane Departure/Straddling Lanes,7056,927
Not In Queue,Not Flagged,9096-EB2R,08-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),12041,692
Not In Queue,Not Flagged,9096-EB2D,08-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),6002,2204
Not In Queue,Not Flagged,9096-EB11,08-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),15021,1725
,Not Flagged,9096-EB03,08-Apr-16,Category 3,226,Lane Departure/Straddling Lanes,11005,856
Not In Queue,Not Flagged,9096-EAZG,08-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),13039,410
Not In Queue,Not Flagged,9096-EAYJ,07-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),12042,935
Coached,Not Flagged,9096-EAXZ,08-Apr-16,Category 4,275,Attained Extreme Speed,9020,613
Not In Queue,Not Flagged,9096-EATT,08-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9042,615
Not In Queue,Not Flagged,9096-EATR,08-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,14218,1273
Not In Queue,Not Flagged,9096-EAT1,08-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),11220,1370
Coached,Not Flagged,9096-EASJ,08-Apr-16,Category 3,226,Lane Departure/Straddling Lanes,208,317
Not In Queue,Not Flagged,9096-EAQR,08-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,12221,1774
Not In Queue,Not Flagged,9096-EAQA,08-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),13051,666
Not In Queue,Not Flagged,9096-EAQ9,08-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,9039,1415
Not In Queue,Not Flagged,9096-EAGP,08-Apr-16,Category 2,195,Incomplete Stop at Light,15007,2123
Not In Queue,Not Flagged,9096-EAF5,07-Apr-16,Category 2,195,Incomplete Stop at Light,test bus 3,1504
Not In Queue,Not Flagged,9096-EAEV,07-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,15005,2123
Not In Queue,Not Flagged,9096-EADC,07-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,12211,2123
Not In Queue,Not Flagged,9096-EADB,07-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),15016,1853
Coached,Not Flagged,9096-EABW,07-Apr-16,Category 3,226,Not Scanning Road Ahead,9936,238
Not In Queue,Not Flagged,9096-EABB,07-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),11229,2068
Not In Queue,Not Flagged,9096-EAAR,07-Apr-16,Category 4,275,Exceeded Maximum Fleet Speed,167,1601
Not In Queue,Not Flagged,9096-EA8G,07-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,9954,2128
Not In Queue,Not Flagged,9096-EA7P,07-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,11209,2217
Coached,Not Flagged,9096-EA7N,07-Apr-16,Category 3,226,Not Scanning Road Ahead,11208,1555
Not In Queue,Not Flagged,9096-EA7J,07-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),11001,42
Coached,Not Flagged,9096-EA75,07-Apr-16,Category 3,226,Unsafe Lane Change/Merging/Passing,14229,1920
Coached,Not Flagged,9096-EA6X,07-Apr-16,Category 4,275,Exceeded Maximum Fleet Speed,167,1601
Coached,Not Flagged,9096-EA6F,07-Apr-16,Category 3,226,Unsafe Braking,15205,12
Not In Queue,Not Flagged,9096-EA4S,07-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,7003,1883
Coached,Not Flagged,9096-EA4F,07-Apr-16,Category 3,226,Lane Departure/Straddling Lanes,11022,2222
Coached,Not Flagged,9096-EA45,07-Apr-16,Category 3,226,Unsafe Lane Change/Merging/Passing,7051,1670
Not In Queue,Not Flagged,9096-EA40,07-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),7059,1524
Coached,Not Flagged,9096-EA32,07-Apr-16,Category 3,226,Lane Departure/Straddling Lanes,11014,1848
Coached,Not Flagged,9096-EA2N,07-Apr-16,Category 3,226,Lane Departure/Straddling Lanes,11009,1838
Not In Queue,Not Flagged,9096-E9ZZ,07-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),211,336
Not In Queue,Not Flagged,9096-E9ZJ,07-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9093,564
Not In Queue,Not Flagged,9096-E9Z6,07-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,6025,2166
Not In Queue,Not Flagged,9096-E9XE,07-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,14212,1370
Not In Queue,Not Flagged,9096-E9WY,07-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,6004,1443
Coached,Not Flagged,9096-E9VS,07-Apr-16,Category 3,226,Lane Departure/Straddling Lanes,12211,781
Not In Queue,Not Flagged,9096-E9VR,07-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,11205,1354
Not In Queue,Not Flagged,9096-E9TV,07-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9031,615
Not In Queue,Not Flagged,9096-E9TR,07-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),11007,1843
Not In Queue,Not Flagged,9096-E9SC,07-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),12024,466
Not In Queue,Not Flagged,9096-E9RG,07-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,7016,2287
Not In Queue,Not Flagged,9096-E9QR,07-Apr-16,Category 2,195,Incomplete Stop at Light,10057,1928
Not In Queue,Not Flagged,9096-E9QK,07-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),4003,317
Not In Queue,Not Flagged,9096-E9Q4,07-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,5053,1080
Not In Queue,Not Flagged,9096-E9Q0,07-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,5053,1080
Not In Queue,Not Flagged,9096-E9PC,07-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,12219,1422
Coached,Not Flagged,9096-E9MD,07-Apr-16,Category 3,226,Lane Departure/Straddling Lanes,11210,1264
Not In Queue,Not Flagged,9096-E9EN,06-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),15016,1853
Not In Queue,Not Flagged,9096-E9CR,06-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),15007,1853
Not In Queue,Not Flagged,9096-E9CQ,06-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,9949,1152
Not In Queue,Not Flagged,9096-E9C8,06-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),15006,1853
Not In Queue,Not Flagged,9096-E993,06-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),13033,1853
Coached,Not Flagged,9096-E97R,06-Apr-16,Category 4,275,Unsafe Backing,9968,2073
Not In Queue,Not Flagged,9096-E967,06-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9034,2211
,Not Flagged,9096-E95W,06-Apr-16,Category 4,452,"Not Scanning Road Ahead, Unsafe Braking",12019,2123
Not In Queue,Not Flagged,9096-E955,06-Apr-16,Category 2,195,Incomplete Stop at Light,7022,261
Not In Queue,Not Flagged,9096-E8YM,06-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,9003,1888
Coached,Not Flagged,9096-E8YG,06-Apr-16,Category 3,226,Lane Departure/Straddling Lanes,12209,1041
Not In Queue,Not Flagged,9096-E8XF,06-Apr-16,Category 2,195,Incomplete Stop at Light,10008,1482
Not In Queue,Not Flagged,9096-E8XB,06-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),6018,1835
Coached,Not Flagged,9096-E8X7,06-Apr-16,Category 4,275,Attained Extreme Speed,9020,1505
Not In Queue,Not Flagged,9096-E8X2,06-Apr-16,Category 2,195,Incomplete Stop at Light,10022,517
Not In Queue,Not Flagged,9096-E8VY,05-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),4014,1395
Not In Queue,Not Flagged,9096-E8TF,06-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),7058,2164
Not In Queue,Not Flagged,9096-E8TE,06-Apr-16,Category 2,195,Incomplete Stop at Light,13041,911
Not In Queue,Not Flagged,9096-E8R9,06-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),10053,775
Not In Queue,Not Flagged,9096-E8R7,06-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,15011,989
Not In Queue,Not Flagged,9096-E8NF,06-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),6102,2258
Not In Queue,Not Flagged,9096-E8MX,06-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,14220,1667
Not In Queue,Not Flagged,9096-E8MT,06-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9949,88
Not In Queue,Not Flagged,9096-E8M6,06-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),213,706
Not In Queue,Not Flagged,9096-E8KC,06-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,7024,1695
Not In Queue,Not Flagged,9096-E8JT,06-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,11203,1354
Not In Queue,Not Flagged,9096-E8JN,06-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,5069,1514
Not In Queue,Not Flagged,9096-E8H1,06-Apr-16,Category 2,190,Unsafe Turning,127,93
Not In Queue,Not Flagged,9096-E8GQ,06-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,14218,291
Not In Queue,Not Flagged,9096-E8GK,06-Apr-16,Category 2,195,Incomplete Stop at Light,12042,202
Coached,Not Flagged,9096-E8GH,06-Apr-16,Category 3,226,Unsafe Lane Change/Merging/Passing,9022,900
Not In Queue,Not Flagged,9096-E8AJ,05-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),8103,924
Not In Queue,Not Flagged,9096-E8AC,05-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),13032,1853
Not In Queue,Not Flagged,9096-E89D,05-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),15003,1853
Coached,Not Flagged,9096-E890,05-Apr-16,Category 4,275,Unsafe Railroad Crossing,9026,1632
Coached,Not Flagged,9096-E87C,05-Apr-16,Category 3,226,Unsafe Following (1.25 - 2 seconds),4002,2141
Not In Queue,Not Flagged,9096-E877,05-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),15007,1853
Not In Queue,Not Flagged,9096-E86G,05-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,9027,847
Not In Queue,Not Flagged,9096-E86B,05-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),11019,995
Not In Queue,Not Flagged,9096-E83Z,05-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9039,2211
Not In Queue,Not Flagged,9096-E83P,05-Apr-16,Category 2,195,Incomplete Stop at Light,13009,2084
Not In Queue,Not Flagged,9096-E83N,05-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9933,1224
Not In Queue,Not Flagged,9096-E812,01-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),12211,1370
Coached,Not Flagged,9096-E811,01-Apr-16,Category 3,226,Lane Departure/Straddling Lanes,12211,1370
Coached,Not Flagged,9096-E810,01-Apr-16,Category 4,275,"Lane Departure/Straddling Lanes, Moderate Speeding (<= 10 mph Over Limit)",12211,1370
Not In Queue,Not Flagged,9096-E80Y,01-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),12211,1370
Not In Queue,Not Flagged,9096-E80W,01-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,12211,1370
Not In Queue,Not Flagged,9096-E80B,01-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),12211,1370
Not In Queue,Not Flagged,9096-E807,01-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),12211,1370
Not In Queue,Not Flagged,9096-E805,01-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),12211,1370
Coached,Not Flagged,9096-E802,01-Apr-16,Category 3,226,Unsafe Lane Change/Merging/Passing,12211,1370
Coached,Not Flagged,9096-E7YW,05-Apr-16,Category 3,226,Lane Departure/Straddling Lanes,9208,1774
Not In Queue,Not Flagged,9096-E7Y9,05-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),11007,1668
Coached,Flagged,9096-E7XW,04-Apr-16,Category 4,275,Failure to Attempt to Stop at Light,8252,1956
Not In Queue,Not Flagged,9096-E7XT,05-Apr-16,Category 2,195,Incomplete Stop at Light,7019,1982
Coached,Flagged,9096-E7WS,05-Apr-16,Category 4,275,Failure to Attempt to Stop at Light,108,1277
Not In Queue,Not Flagged,9096-E7WH,05-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),7018,1350
Not In Queue,Not Flagged,9096-E7VX,05-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),12003,950
Not In Queue,Not Flagged,9096-E7VV,05-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,14005,1065
Not In Queue,Not Flagged,9096-E7VE,05-Apr-16,Category 2,195,Incomplete Stop at Light,10029,846
Not In Queue,Not Flagged,9096-E7V6,05-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,10057,224
Not In Queue,Not Flagged,9096-E7SV,03-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),14010,1987
Not In Queue,Not Flagged,9096-E7SN,03-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,14010,1987
Not In Queue,Not Flagged,9096-E7PN,02-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,12041,1250
Not In Queue,Not Flagged,9096-E7PG,02-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),12041,1250
Coached,Not Flagged,9096-E7N2,05-Apr-16,Category 4,275,Unsafe Railroad Crossing,7002,307
Not In Queue,Not Flagged,9096-E7KJ,05-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,15010,1015
Not In Queue,Not Flagged,9096-E7K1,05-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,112,1883
Coached,Not Flagged,9096-E7JR,05-Apr-16,Category 4,275,Attained Extreme Speed,9020,465
Not In Queue,Not Flagged,9096-E7JG,05-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9029,615
Not In Queue,Not Flagged,9096-E7JA,05-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),14020,692
Not In Queue,Not Flagged,9096-E7HX,05-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),12213,302
Not In Queue,Not Flagged,9096-E7HM,05-Apr-16,Category 2,195,Incomplete Stop at Light,4006,1052
Coached,Not Flagged,9096-E7GT,05-Apr-16,Category 3,226,Lane Departure/Straddling Lanes,7056,2185
Coached,Not Flagged,9096-E7F5,05-Apr-16,Category 3,226,Unsafe Following (1.25 - 2 seconds),9102,674
Not In Queue,Not Flagged,9096-E7F2,05-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),14020,692
Not In Queue,Not Flagged,9096-E7EC,05-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,15220,597
Not In Queue,Not Flagged,9096-E7DZ,05-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),14016,2297
Coached,Not Flagged,9096-E7DG,05-Apr-16,Category 3,226,Lane Departure/Straddling Lanes,7052,666
Not In Queue,Not Flagged,9096-E7CK,05-Apr-16,Category 2,195,Incomplete Stop at Light,15224,1774
Not In Queue,Not Flagged,9096-E79V,05-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),15020,1853
Not In Queue,Not Flagged,9096-E79B,04-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),13044,1853
Not In Queue,Not Flagged,9096-E793,04-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),13043,1853
Not In Queue,Not Flagged,9096-E78N,04-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),13042,1853
Not In Queue,Not Flagged,9096-E783,01-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9716,1854
Not In Queue,Not Flagged,9096-E77D,04-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),15010,1853
Not In Queue,Not Flagged,9096-E76Q,04-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),15011,1853
Not In Queue,Not Flagged,9096-E765,04-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),13033,1853
Coached,Not Flagged,9096-E74N,04-Apr-16,Category 4,275,Failure to Attempt to Stop at Light,9003,969
Coached,Not Flagged,9096-E74A,04-Apr-16,Category 3,226,Lane Departure/Straddling Lanes,6022,1623
Coached,Not Flagged,9096-E742,04-Apr-16,Category 3,244,"Incomplete Stop at Stop Sign, Moderate Speeding (<= 10 mph Over Limit)",11024,995
Not In Queue,Not Flagged,9096-E72V,04-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),15013,1853
Not In Queue,Not Flagged,9096-E71P,04-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9034,2211
Not In Queue,Not Flagged,9096-E70S,04-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9030,1728
Not In Queue,Not Flagged,9096-E6ZA,04-Apr-16,Category 2,195,Incomplete Stop at Light,9024,1888
Coached,Not Flagged,9096-E6XA,04-Apr-16,Category 3,200,Curb Check/Jumped Curb,117,1860
Not In Queue,Not Flagged,9096-E6TH,04-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),12019,1695
Coached,Not Flagged,9096-E6T3,04-Apr-16,Category 4,275,Exceeded Maximum Fleet Speed,8252,1379
Not In Queue,Not Flagged,9096-E6RK,04-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9039,547
Coached,Not Flagged,9096-E6R4,04-Apr-16,Category 4,501,"Lane Departure/Straddling Lanes, Unsafe Following (<= 1 second)",12207,937
Not In Queue,Not Flagged,9096-E6PB,04-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,12220,1073
Not In Queue,Flagged,9096-E6JM,04-Apr-16,Category 2,195,Incomplete Stop at Light,6021,646
Not In Queue,Not Flagged,9096-E6JF,04-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),4002,1588
Not In Queue,Not Flagged,9096-E6HN,04-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9041,615
,Not Flagged,9096-E6HJ,04-Apr-16,Category 3,226,Lane Departure/Straddling Lanes,11012,2123
Not In Queue,Flagged,9096-E6F9,31-Mar-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),6016,818
Not In Queue,Not Flagged,9096-E6E2,31-Mar-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),14002,1386
Coached,Not Flagged,9096-E6C4,04-Apr-16,Category 3,226,Lane Departure/Straddling Lanes,11220,1370
Coached,Not Flagged,9096-E6C2,04-Apr-16,Category 3,226,Lane Departure/Straddling Lanes,7052,666
Coached,Not Flagged,9096-E6BN,04-Apr-16,Category 3,226,Lane Departure/Straddling Lanes,11010,1047
Not In Queue,Not Flagged,9096-E6BJ,04-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,11203,1354
Not In Queue,Not Flagged,9096-E6B4,04-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,130,1108
Coached,Not Flagged,9096-E6AG,04-Apr-16,Category 3,226,Lane Departure/Straddling Lanes,12210,1273
Not In Queue,Not Flagged,9096-E65Q,03-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,9018,1706
Not In Queue,Not Flagged,9096-E62Y,03-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),14017,336
Not In Queue,Not Flagged,9096-E5ZM,03-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),9718,87
Not In Queue,Not Flagged,9096-E5YG,02-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,12015,866
Not In Queue,Not Flagged,9096-E5X6,02-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),14014,1904
Not In Queue,Not Flagged,9096-E5VZ,02-Apr-16,Category 2,195,Incomplete Stop at Light,10053,215
Not In Queue,Not Flagged,9096-E5V1,02-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),10016,1350
Coached,Not Flagged,9096-E5NT,02-Apr-16,Category 3,200,Curb Check/Jumped Curb,9968,1500
Not In Queue,Not Flagged,9096-E5NF,02-Apr-16,Category 2,195,Incomplete Stop at Stop Sign,11012,1883
Not In Queue,Not Flagged,9096-E5K4,02-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),13031,1853
Not In Queue,Not Flagged,9096-E5JP,01-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),15023,1853
Not In Queue,Not Flagged,9096-E5JF,01-Apr-16,Category 1,49,"Moderate Speeding (<= 10 mph Over Limit), Yawning",15022,1853
Not In Queue,Not Flagged,9096-E5J4,01-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),15021,1853
Not In Queue,Not Flagged,9096-E5HM,01-Apr-16,Category 1,49,Moderate Speeding (<= 10 mph Over Limit),15017,1853
